dataset,method,train_size,seed,status,method_success,effective_generator,tstr_f1,tstr_balanced_accuracy,tstr_roc_auc,real_train_f1,majority_baseline_f1,tstr_f1_gap_to_real_train,tstr_f1_relative_to_real_train,distribution_distance_mean,numeric_fidelity_distance,categorical_fidelity_distance,target_distribution_distance,target_conditioned_distribution_distance,feature_target_mean_dependency_distance,constraint_violation_rate,duplicate_rate,exact_train_duplicate_rate,primary_generator_rows,fallback_rows,fallback_fraction,repair_fraction,primary_only_rows,primary_only_tstr_f1,primary_only_distribution_distance_mean,ctgan_epochs_used,runtime_seconds
adult,fallback_only,500,2025,success,True,schema_independent_fallback,0.04822908816880181,0.4919102623226267,0.44770142318569056,0.5998522531396208,0.0,0.551623164970819,0.08040161209092946,0.06779957559005403,0.13266666666666668,0.039,0.0040000000000000036,0.2068210923806297,0.057719724956150076,0.0,0.0,0.0,0,500,1.0,0.002,,,,,0.52394700050354
pima,ctgan,100,42,success,True,ctgan,0.49635036496350365,0.5698148148148148,0.5887037037037037,0.4842105263157895,0.0,-0.012139838647714174,1.025071405902888,0.21729650151057708,0.33925,,0.15000000000000002,0.3708901098901099,0.10436217271022331,0.0,0.0,0.0,500,0,0.0,0.0,,,,50.0,2.091642141342163
pima,ctgan_strong,100,42,success,True,ctgan_strong,0.13114754098360656,0.5220370370370371,0.5796296296296296,0.4842105263157895,0.0,0.35306298533218294,0.270848182466144,0.18013024151622337,0.28,,0.092,0.3026972368765538,0.06709964785281589,0.0,0.0,0.0,500,0,0.0,0.0,,,,300.0,9.914025068283081
pima,direct_icl,100,42,success,True,llm_direct_rows,0.5306122448979592,0.6507407407407407,0.7168518518518519,0.4842105263157895,0.0,-0.04640171858216974,1.095829636202307,0.14756558247835208,0.244,,0.11200000000000002,0.25724591393736373,0.057782137960581806,0.0,0.0,0.0,500,0,0.0,0.0,500.0,0.5306122448979592,0.14756558247835208,,494.72484612464905
pima,code_llm,100,42,success,True,llm_generated_code,0.06779661016949153,0.5035185185185185,0.4035185185185185,0.4842105263157895,0.0,0.41641391614629797,0.1400147383935151,0.10517255014859277,0.122,,0.013999999999999985,0.19990339103667418,0.03764515899204331,0.0,0.0,0.0,500,0,0.0,0.0,,,,,16.840968370437622
pima,fallback_only,100,42,success,True,schema_independent_fallback,0.5,0.6264814814814815,0.7544444444444445,0.4842105263157895,0.0,-0.01578947368421052,1.0326086956521738,0.10014997647688832,0.10525000000000001,,0.027999999999999997,0.11856691147764636,0.008104303223485407,0.0,0.0,0.0,0,500,1.0,0.0,,,,,1.6441571712493896
pima,ctgan,100,123,success,True,ctgan,0.48695652173913045,0.5942592592592593,0.5868518518518518,0.5,0.0,0.013043478260869545,0.9739130434782609,0.1889007598585135,0.3015,,0.11200000000000002,0.32655157729507167,0.09210473464654637,0.0,0.0,0.0,500,0,0.0,0.0,,,,50.0,2.0820460319519043
pima,ctgan_strong,100,123,success,True,ctgan_strong,0.41237113402061853,0.5701851851851851,0.6688888888888889,0.5,0.0,0.08762886597938147,0.8247422680412371,0.15227390032222068,0.20350000000000001,,0.096,0.2424171870366282,0.0532596402544358,0.0,0.0,0.0,500,0,0.0,0.0,,,,300.0,10.060642957687378
pima,direct_icl,100,123,success,True,llm_direct_rows,0.4444444444444444,0.6051851851851852,0.7442592592592593,0.5,0.0,0.05555555555555558,0.8888888888888888,0.14392609587551447,0.23275,,0.10400000000000001,0.2438991625114973,0.04940322916589589,0.0,0.0,0.0,499,1,0.002,0.002,499.0,0.46153846153846156,0.14444116705389773,,494.1982877254486
pima,code_llm,100,123,success,True,llm_generated_code,0.16129032258064516,0.5312962962962963,0.6475925925925927,0.5,0.0,0.33870967741935487,0.3225806451612903,0.0918409902208699,0.126,,0.0040000000000000036,0.2071312715026311,0.04198809383958825,0.0,0.0,0.0,500,0,0.0,0.0,,,,,15.860689163208008
pima,fallback_only,100,123,success,True,schema_independent_fallback,0.45161290322580644,0.6044444444444445,0.7348148148148147,0.5,0.0,0.04838709677419356,0.9032258064516129,0.09227203817656536,0.11,,0.008000000000000007,0.13137677816709822,0.01703353376381686,0.0,0.0,0.0,0,500,1.0,0.0,,,,,1.3725411891937256
pima,ctgan,100,2025,success,True,ctgan,0.2608695652173913,0.5533333333333333,0.5942592592592593,0.4946236559139785,0.0,0.2337540906965872,0.5274102079395084,0.1819186982826538,0.28975,,0.08600000000000005,0.3159189032224851,0.08301470339464606,0.0,0.0,0.0,500,0,0.0,0.0,,,,50.0,1.8868789672851562
